experiment_id,metric,platform_a,value_a,platform_b,value_b,delta,status
cal_ensemble_hype_de@HYPE,KGE,macos,0.806661,macos_p3repro,0.806661,0.000000,OK
cal_ensemble_hype_dream@HYPE,KGE,macos,0.371711,macos_p3repro,0.371711,0.000000,OK
cal_ensemble_hype_ga@HYPE,KGE,macos,0.741416,macos_p3repro,0.741416,0.000000,OK
cal_ensemble_hype_glue@HYPE,KGE,macos,0.316885,macos_p3repro,0.316885,0.000000,OK
cal_ensemble_hype_moead@HYPE,KGE,macos,0.784750,macos_p3repro,0.592638,0.192112,DIFF
cal_ensemble_hype_nelder_mead@HYPE,KGE,macos,0.707065,macos_p3repro,0.707133,0.000068,OK
cal_ensemble_hype_nsga2@HYPE,KGE,macos,0.843736,macos_p3repro,0.843736,0.000000,OK
cal_ensemble_hype_pso@HYPE,KGE,macos,0.591969,macos_p3repro,0.591969,0.000000,OK
cal_ensemble_hype_sa@HYPE,KGE,macos,0.576021,macos_p3repro,0.576021,0.000000,OK
cal_ensemble_hype_sceua@HYPE,KGE,macos,0.825445,macos_p3repro,0.825445,0.000000,OK
cal_ensemble_sacsma_abc@SACSMA,KGE,macos,0.419349,macos_p3repro,0.419349,0.000000,OK
cal_ensemble_sacsma_adam@SACSMA,KGE,macos,0.844904,macos_p3repro,0.844905,0.000000,OK
cal_ensemble_sacsma_basin_hopping@SACSMA,KGE,macos,-0.917405,macos_p3repro,-0.913336,0.004069,OK
cal_ensemble_sacsma_bayesian_opt@SACSMA,KGE,macos,-0.145077,macos_p3repro,-0.140049,0.005028,OK
cal_ensemble_sacsma_cmaes@SACSMA,KGE,macos,0.812063,macos_p3repro,0.812063,0.000000,OK
cal_ensemble_sacsma_dds@SACSMA,KGE,macos,0.847925,macos_p3repro,0.847905,0.000020,OK
cal_ensemble_sacsma_de@SACSMA,KGE,macos,0.838476,macos_p3repro,0.838476,0.000000,OK
cal_ensemble_sacsma_dream@SACSMA,KGE,macos,0.597119,macos_p3repro,0.597120,0.000001,OK
cal_ensemble_sacsma_ga@SACSMA,KGE,macos,0.801942,macos_p3repro,0.801942,0.000000,OK
cal_ensemble_sacsma_glue@SACSMA,KGE,macos,0.182590,macos_p3repro,0.182589,0.000001,OK
cal_ensemble_sacsma_lbfgs@SACSMA,KGE,macos,0.829228,macos_p3repro,0.840666,0.011438,OK
cal_ensemble_sacsma_moead@SACSMA,KGE,macos,0.271356,macos_p3repro,0.226296,0.045060,DIFF
cal_ensemble_sacsma_nelder_mead@SACSMA,KGE,macos,0.130062,macos_p3repro,0.148962,0.018900,OK
cal_ensemble_sacsma_nsga2@SACSMA,KGE,macos,0.737774,macos_p3repro,0.737775,0.000001,OK
cal_ensemble_sacsma_pso@SACSMA,KGE,macos,0.316828,macos_p3repro,0.316828,0.000000,OK
cal_ensemble_sacsma_sa@SACSMA,KGE,macos,0.811628,macos_p3repro,0.811627,0.000000,OK
cal_ensemble_sacsma_sceua@SACSMA,KGE,macos,0.451409,macos_p3repro,0.482398,0.030989,DIFF
cal_ensemble_summa_abc@SUMMA,KGE,macos,0.889229,macos_p3repro,0.889527,0.000298,OK
cal_ensemble_summa_basin_hopping@SUMMA,KGE,macos,0.862453,macos_p3repro,0.881043,0.018589,OK
cal_ensemble_summa_bayesian_opt@SUMMA,KGE,macos,0.701214,macos_p3repro,0.700975,0.000238,OK
cal_ensemble_summa_cmaes@SUMMA,KGE,macos,0.879659,macos_p3repro,0.868833,0.010826,OK
cal_ensemble_summa_dds@SUMMA,KGE,macos,0.884983,macos_p3repro,0.895249,0.010267,OK
cal_ensemble_summa_de@SUMMA,KGE,macos,0.889582,macos_p3repro,0.908227,0.018645,OK
cal_ensemble_summa_dream@SUMMA,KGE,macos,0.866497,macos_p3repro,0.866478,0.000019,OK
cal_ensemble_summa_ga@SUMMA,KGE,macos,0.883887,macos_p3repro,0.900779,0.016892,OK
cal_ensemble_summa_moead@SUMMA,KGE,macos,0.868362,macos_p3repro,0.866251,0.002111,OK
cal_ensemble_summa_nelder_mead@SUMMA,KGE,macos,0.888702,macos_p3repro,0.903719,0.015017,OK
cal_ensemble_summa_nsga2@SUMMA,KGE,macos,0.887483,macos_p3repro,0.888016,0.000533,OK
cal_ensemble_summa_pso@SUMMA,KGE,macos,0.889650,macos_p3repro,0.889660,0.000011,OK
cal_ensemble_summa_sa@SUMMA,KGE,macos,0.873392,macos_p3repro,0.873386,0.000006,OK
cal_ensemble_topmodel_abc@TOPMODEL,KGE,macos,0.758922,macos_p3repro,0.758922,0.000000,OK
cal_ensemble_topmodel_adam@TOPMODEL,KGE,macos,0.720636,macos_p3repro,0.746068,0.025433,DIFF
cal_ensemble_topmodel_basin_hopping@TOPMODEL,KGE,macos,0.697080,macos_p3repro,0.709796,0.012716,OK
cal_ensemble_topmodel_bayesian_opt@TOPMODEL,KGE,macos,0.581563,macos_p3repro,0.619867,0.038305,DIFF
cal_ensemble_topmodel_cmaes@TOPMODEL,KGE,macos,0.851301,macos_p3repro,0.851300,0.000002,OK
cal_ensemble_topmodel_dds@TOPMODEL,KGE,macos,0.837660,macos_p3repro,0.837660,0.000000,OK
cal_ensemble_topmodel_de@TOPMODEL,KGE,macos,0.850677,macos_p3repro,0.850871,0.000194,OK
